dialogue_id,gt_entity,pred_entity,similarity,is_match,gt_axis,gt_sub_axis,gt_polarity,pred_axis,pred_sub_axis,pred_polarity,is_same_entity,notes
4,warm hot pot,hot pot,0.8486990942502579,True,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive,Y,
16,cake,cakes,0.8332387634032965,True,wanting,goal,positive,wanting,goal,positive,Y,
41,big city,big cities,0.8321371609719248,True,wanting,goal,positive,wanting,goal,positive,Y,
48,trying new recipes,new recipes,0.8243811749537697,True,liking,,positive,liking,stimulation,positive,Y,
31,western music concert,western music,0.8111426393277723,True,wanting,goal,positive,liking,aesthetic_sensory,positive,N,
25,vanilla milkshake,milkshake,0.7926784746369983,True,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive,N,
41,offering parents a better life,better life for parents,0.7594097861526998,True,wanting,goal,positive,wanting,goal,positive,Y,
20,Hemingway,novels by Hemingway,0.7391197885709944,True,liking,,positive,liking,general,positive,N,
16,fresh and ripe and soft cherries,cherries,0.7136191753820222,True,wanting,goal,positive,liking,aesthetic_sensory,positive,N,
34,two carats diamond ring,diamond ring,0.70198784092643,True,wanting,goal,positive,wanting,goal,positive,N,
14,souvenir store,Olympic souvenir store,0.6989346451297459,False,wanting,goal,positive,wanting,goal,positive,Y,
33,clear stars,stars,0.6896544503298585,False,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive,N,
13,blue dress,green dress,0.6843165627234915,False,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,negative,N,
17,latest design sunglasses,sunglasses,0.679812073354086,False,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive,N,
9,own food,food,0.6589857812028987,False,liking,aesthetic/sensory,positive,liking,general,negative,N,
16,orange,oranges,0.645510765439633,False,wanting,goal,positive,liking,aesthetic_sensory,neutral,Y,
