dialogue_id,gt_entity,pred_entity,similarity,is_match,gt_axis,gt_sub_axis,gt_polarity,pred_axis,pred_sub_axis,pred_polarity
1,drink,drink,1.0,True,wanting,goal,positive,liking,aesthetic_sensory,positive
1,drink,food,0.4467611854636919,False,wanting,goal,positive,liking,aesthetic_sensory,positive
1,bar,drink,0.3210906710109937,False,wanting,goal,positive,liking,aesthetic_sensory,positive
1,bar,food,0.31747271850991043,False,wanting,goal,positive,liking,aesthetic_sensory,positive
1,food,drink,0.4467611854636919,False,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive
1,food,food,1.0,True,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive
2,ham salad sandwich,ham salad sandwich,1.0,True,wanting,goal,positive,liking,aesthetic_sensory,positive
2,ham salad sandwich,eggs,0.31051131003163435,False,wanting,goal,positive,liking,aesthetic_sensory,neutral
2,ham salad sandwich,bread,0.2896647100733378,False,wanting,goal,positive,liking,aesthetic_sensory,neutral
2,egg,ham salad sandwich,0.2643904873550261,False,wanting,goal,positive,liking,aesthetic_sensory,positive
2,egg,eggs,0.5865206931401991,False,wanting,goal,positive,liking,aesthetic_sensory,neutral
2,egg,bread,0.44318858599412747,False,wanting,goal,positive,liking,aesthetic_sensory,neutral
2,bread,ham salad sandwich,0.2896647100733378,False,wanting,goal,positive,liking,aesthetic_sensory,positive
2,bread,eggs,0.4025621434365372,False,wanting,goal,positive,liking,aesthetic_sensory,neutral
2,bread,bread,1.0,True,wanting,goal,positive,liking,aesthetic_sensory,neutral
4,warm hot pot,hot pot,0.8486990942502579,True,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive
4,warm hot pot,winter nights,0.28591124718844285,False,liking,aesthetic/sensory,positive,liking,general,positive
5,piano,piano,1.0,True,liking,stimulation,positive,liking,stimulation,positive
5,hobby,piano,0.2995628305870532,False,liking,identification,positive,liking,stimulation,positive
6,The Bangkok,new Thai restaurant,0.5505850053727129,False,wanting,goal,positive,wanting,goal,positive
6,The Bangkok,dinner,0.24145644827502605,False,wanting,goal,positive,wanting,goal,positive
6,new Thai restaurant,new Thai restaurant,1.0,True,wanting,goal,positive,wanting,goal,positive
6,new Thai restaurant,dinner,0.29986163101751356,False,wanting,goal,positive,wanting,goal,positive
7,France,France,1.0,True,liking,,positive,wanting,goal,positive
8,muffin,muffins,0.9084546121274881,True,wanting,goal,positive,liking,aesthetic_sensory,positive
8,muffin,sunny side up eggs,0.29909560234434657,False,wanting,goal,positive,liking,aesthetic_sensory,positive
8,sunny side up,muffins,0.31293700952446973,False,wanting,goal,positive,liking,aesthetic_sensory,positive
8,sunny side up,sunny side up eggs,0.9137485905909773,True,wanting,goal,positive,liking,aesthetic_sensory,positive
8,baking,muffins,0.4821846901427869,False,wanting,goal,positive,liking,aesthetic_sensory,positive
8,baking,sunny side up eggs,0.2926183665320283,False,wanting,goal,positive,liking,aesthetic_sensory,positive
9,own food,food,0.6589857812028987,False,liking,aesthetic/sensory,positive,liking,general,negative
9,own food,own food,1.0,True,liking,aesthetic/sensory,positive,liking,general,positive
10,Superbad,Superbad,1.0,True,liking,stimulation,positive,liking,stimulation,positive
10,Superbad,Superbad,1.0,True,wanting,goal,positive,liking,stimulation,positive
11,blue shirt,blue one,0.5886051447649118,False,wanting,goal,positive,liking,aesthetic_sensory,positive
12,Barry,Barry,1.0,True,liking,,negative,liking,identification,negative
12,Barry,Paul,0.38495536837307537,False,liking,,negative,liking,identification,positive
12,Barry,myself,0.2909997944339527,False,liking,,negative,liking,identification,neutral
12,Paul,Barry,0.38495536837307537,False,liking,,positive,liking,identification,negative
12,Paul,Paul,1.0,True,liking,,positive,liking,identification,positive
12,Paul,myself,0.31143845108379953,False,liking,,positive,liking,identification,neutral
13,blue dress,colour,0.3492079997234217,False,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive
13,blue dress,dress,0.5793669509558611,False,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive
13,blue dress,green dress,0.6843165627234915,False,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,negative
13,blue dress,blue dress,1.0,True,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive
14,souvenir store,Olympic souvenir store,0.6989346451297459,False,wanting,goal,positive,wanting,goal,positive
14,souvenir store,Olympic Mascots,0.18212777095805013,False,wanting,goal,positive,liking,aesthetic_sensory,positive
14,souvenir store,Huanhuan,0.23023755334550522,False,wanting,goal,positive,liking,aesthetic_sensory,positive
14,souvenir store,postcards,0.37400015134786024,False,wanting,goal,positive,wanting,interest,neutral
14,souvenir store,key chains,0.23565901868827382,False,wanting,goal,positive,wanting,interest,neutral
14,souvenir store,posters,0.30567982627565604,False,wanting,goal,positive,wanting,interest,neutral
14,souvenir store,arts and crafts,0.2651475946678376,False,wanting,goal,positive,wanting,interest,neutral
14,Olympic Mascots,Olympic souvenir store,0.5288656078117002,False,wanting,goal,positive,wanting,goal,positive
14,Olympic Mascots,Olympic Mascots,1.0,True,wanting,goal,positive,liking,aesthetic_sensory,positive
14,Olympic Mascots,Huanhuan,0.158097369393938,False,wanting,goal,positive,liking,aesthetic_sensory,positive
14,Olympic Mascots,postcards,0.1966532561736364,False,wanting,goal,positive,wanting,interest,neutral
14,Olympic Mascots,key chains,0.2362228704833462,False,wanting,goal,positive,wanting,interest,neutral
14,Olympic Mascots,posters,0.26730851632604974,False,wanting,goal,positive,wanting,interest,neutral
14,Olympic Mascots,arts and crafts,0.1373136319193446,False,wanting,goal,positive,wanting,interest,neutral
14,Olympic Mascots,Olympic souvenir store,0.5288656078117002,False,liking,aesthetic/sensory,positive,wanting,goal,positive
14,Olympic Mascots,Olympic Mascots,1.0,True,liking,aesthetic/sensory,positive,liking,aesthetic_sensory,positive
